model_name,split,task_bucket,n_rows,accuracy,log_loss,brier_score,null_log_loss,mean_model_a_win_rate,covered_row_share,unknown_pair_rows
baseline,validation,mixed,5130.0,0.6356725146198831,0.6352856411510939,0.22212747822414633,0.6928735651497016,0.48830409356725146,1.0,0.0
baseline,validation,factual_reasoning,3700.0,0.6248648648648648,0.6502821831308875,0.22928201908982723,0.693137828640374,0.49783783783783786,1.0,0.0
baseline,validation,creative,284.0,0.6056338028169014,0.6679565160202559,0.23747710126970195,0.6927503793967293,0.4859154929577465,1.0,0.0
baseline,validation,other,721.0,0.5825242718446602,0.6867695841924203,0.24548632330784878,0.6927229504075992,0.5145631067961165,1.0,0.0
baseline,test,mixed,5142.0,0.6384675223648386,0.6403097675879792,0.2244003126049658,0.6930200181341284,0.49202644885258656,1.0,0.0
baseline,test,factual_reasoning,3678.0,0.6196302338227297,0.6486984482934733,0.22845455912154367,0.6931471785599453,0.5,1.0,0.0
baseline,test,creative,270.0,0.6296296296296297,0.6684082218397498,0.23737821425977934,0.690923307313818,0.4666666666666667,1.0,0.0
baseline,test,other,745.0,0.5879194630872483,0.6709485361987986,0.23873759914679873,0.6931030357546535,0.49530201342281877,1.0,0.0
proxy_augmented,validation,mixed,5130.0,0.6499025341130604,0.6289892481144461,0.21877573893635657,0.6928735651497016,0.48830409356725146,1.0,0.0
proxy_augmented,validation,factual_reasoning,3700.0,0.6308108108108108,0.6462418701774041,0.2272387539176767,0.693137828640374,0.49783783783783786,1.0,0.0
proxy_augmented,validation,creative,284.0,0.6197183098591549,0.6600332157807653,0.23347255255015137,0.6927503793967293,0.4859154929577465,1.0,0.0
proxy_augmented,validation,other,721.0,0.5936199722607489,0.6777261984396326,0.24167967454056827,0.6927229504075992,0.5145631067961165,1.0,0.0
proxy_augmented,test,mixed,5142.0,0.6493582263710619,0.6341503778537856,0.22068908704434756,0.6930200181341284,0.49202644885258656,1.0,0.0
proxy_augmented,test,factual_reasoning,3678.0,0.6261555193039695,0.6449387685419171,0.22657070534334603,0.6931471785599453,0.5,1.0,0.0
proxy_augmented,test,creative,270.0,0.6444444444444445,0.6605703268711864,0.23399594787256034,0.690923307313818,0.4666666666666667,1.0,0.0
proxy_augmented,test,other,745.0,0.5919463087248322,0.6677655085369245,0.23697438685923317,0.6931030357546535,0.49530201342281877,1.0,0.0
formatting_augmented,validation,mixed,5130.0,0.653411306042885,0.6280872139353179,0.21833985110201817,0.6928735651497016,0.48830409356725146,1.0,0.0
formatting_augmented,validation,factual_reasoning,3700.0,0.6313513513513513,0.6444079735787833,0.22642576957171315,0.693137828640374,0.49783783783783786,1.0,0.0
formatting_augmented,validation,creative,284.0,0.6161971830985915,0.6632130370690483,0.2345337344435666,0.6927503793967293,0.4859154929577465,1.0,0.0
formatting_augmented,validation,other,721.0,0.6005547850208044,0.6693141122407238,0.23764030651526025,0.6927229504075992,0.5145631067961165,1.0,0.0
formatting_augmented,test,mixed,5142.0,0.6516919486581096,0.6311551557026974,0.2192572053202979,0.6930200181341284,0.49202644885258656,1.0,0.0
formatting_augmented,test,factual_reasoning,3678.0,0.6340402392604676,0.6422901389493699,0.22530896055586339,0.6931471785599453,0.5,1.0,0.0
formatting_augmented,test,creative,270.0,0.6222222222222222,0.658254399060215,0.23304318620747314,0.690923307313818,0.4666666666666667,1.0,0.0
